"TIME";"DSC_ERROR_LEVEL";"MESSAGE";"DETAILS_ERROR";"DSC_ERROR_TYPE";"GUID_PROCESS_EXECUTION";"GUID_PROCESS_ERROR"
"17/10/2014, 10:23:01:928";"Debug";"Begin execution pipeline: 9181181E3C954DF6AF60CA400A4C5F95; from type: INPUT process for an SIF file through LGP;";"";"Technical";"9181181E3C954DF6AF60CA400A4C5F95";"6D9B0EF7EF8642AA8A14A3C700CC143A"
"17/10/2014, 10:23:01:971";"Info";">> Begin execution step: 7790916AB9F5434F9835A3C700CC126A; with order: 0";"";"Technical";"9181181E3C954DF6AF60CA400A4C5F95";"288BB0643B744FB0B56DA3C700CC1448"
"17/10/2014, 10:23:01:993";"Debug";"Command: 07CF998A91EF4E05B53141AD6E50DF89; Name: Perform a file backup";"";"Technical";"9181181E3C954DF6AF60CA400A4C5F95";"452348A3320A4751BFC4A3C700CC144D"
"17/10/2014, 10:23:02:027";"Debug";"Registering parameters for step 7790916AB9F5434F9835A3C700CC126A";"";"Technical";"9181181E3C954DF6AF60CA400A4C5F95";"BF9868323C9C48A589B7A3C700CC1456"
"17/10/2014, 10:23:02:036";"Trace";"Set default parameter: pipeline_id; with value: 9181181E3C954DF6AF60CA400A4C5F95";"";"Technical";"9181181E3C954DF6AF60CA400A4C5F95";"86D4ECFDE2114A358F83A3C700CC145B"
"17/10/2014, 10:23:02:041";"Trace";"Set default parameter: tid; with value: 010255";"";"Technical";"9181181E3C954DF6AF60CA400A4C5F95";"2E0E8714CA03467A8A01A3C700CC145B"
"17/10/2014, 10:23:02:050";"Trace";"Set default parameter: side; with value: Client";"";"Technical";"9181181E3C954DF6AF60CA400A4C5F95";"4E5B1F88DD894DB79B86A3C700CC145F"
"17/10/2014, 10:23:02:059";"Trace";"Set default parameter: file_id; with value: 1696B1E514CC4B1AB031F6380A2DC352";"";"Technical";"9181181E3C954DF6AF60CA400A4C5F95";"0867385A9B3E4624853FA3C700CC145F"
"17/10/2014, 10:23:02:076";"Trace";"Set default parameter: file_path; with value: \\ind021\NPRSin\{6497ec54b333431da47fc0e9ab4ea80b}";"";"Technical";"9181181E3C954DF6AF60CA400A4C5F95";"75F484459DC24FA48308A3C700CC1464"
"17/10/2014, 10:23:02:084";"Trace";"Set default parameter: file_name; with value: EP2_010255_20141017_102257_FR003814_000000_0000SIF_00006_FILE_SIFsignOffV1.txt";"";"Technical";"9181181E3C954DF6AF60CA400A4C5F95";"866D13ABF0244D8AB73BA3C700CC1469"
"17/10/2014, 10:23:02:090";"Trace";"Set default parameter: file_type_id; with value: SIF";"";"Technical";"9181181E3C954DF6AF60CA400A4C5F95";"8E48A8E783DD44DB811EA3C700CC1469"
"17/10/2014, 10:23:02:098";"Trace";"Set default parameter: container_type_id; with value: FILE";"";"Technical";"9181181E3C954DF6AF60CA400A4C5F95";"9AEAD40382274474BAF9A3C700CC146D"
"17/10/2014, 10:23:02:110";"Trace";"Set default parameter: transmission_mode; with value: 1";"";"Technical";"9181181E3C954DF6AF60CA400A4C5F95";"5B7297A033824565B15CA3C700CC146D"
"17/10/2014, 10:23:02:154";"Trace";"Resolving parameter: file_name; with value: EP2_010255_20141017_102257_FR003814_000000_0000SIF_00006_FILE_SIFsignOffV1.txt;";"";"Technical";"9181181E3C954DF6AF60CA400A4C5F95";"6E40F12E0EA942129F06A3C700CC147C"
"17/10/2014, 10:23:02:177";"Trace";"Resolving parameter: file_path; with value: \\ind021\NPRSin\{6497ec54b333431da47fc0e9ab4ea80b};";"";"Technical";"9181181E3C954DF6AF60CA400A4C5F95";"88CF3319866D484D9CD0A3C700CC1485"
"17/10/2014, 10:23:02:190";"Trace";"Resolving parameter: file_type_id; with value: SIF;";"";"Technical";"9181181E3C954DF6AF60CA400A4C5F95";"8B9D998E664C41118E20A3C700CC148A"
"17/10/2014, 10:23:02:245";"Trace";"Resolving parameter: backup_folder; with value: \\ind021\Workfolder\BackUp;";"";"Technical";"9181181E3C954DF6AF60CA400A4C5F95";"8E125C4BD3E84889AAC3A3C700CC1498"
"17/10/2014, 10:23:02:271";"Trace";"Resolving parameter: file_name; with value: EP2_010255_20141017_102257_FR003814_000000_0000SIF_00006_FILE_SIFsignOffV1.txt;";"";"Technical";"9181181E3C954DF6AF60CA400A4C5F95";"9F00AC47F44945998859A3C700CC14A1"
"17/10/2014, 10:23:02:281";"Debug";"Executed command Adp.Streamline.ProductionLine.Domain.Commands.CopyFileCommand from command Adp.Streamline.ProductionLine.Domain.Commands.BackupFileCommand with status True";"";"Technical";"9181181E3C954DF6AF60CA400A4C5F95";"D44786C121F146BA85D4A3C700CC14A1"
"17/10/2014, 10:23:02:292";"Trace";"Parameter: file_name; with value: EP2_010255_20141017_102257_FR003814_000000_0000SIF_00006_FILE_SIFsignOffV1.txt; for: Adp.Streamline.ProductionLine.Domain.Commands.CopyFileCommand;";"";"Technical";"9181181E3C954DF6AF60CA400A4C5F95";"1C744D9A4F88438883C5A3C700CC14A6"
"17/10/2014, 10:23:02:299";"Trace";"Parameter: source_folder; with value: \\ind021\NPRSin\{6497ec54b333431da47fc0e9ab4ea80b}; for: Adp.Streamline.ProductionLine.Domain.Commands.CopyFileCommand;";"";"Technical";"9181181E3C954DF6AF60CA400A4C5F95";"2362909A34B94DE09093A3C700CC14A6"
"17/10/2014, 10:23:02:312";"Trace";"Parameter: destination_folder; with value: \\ind021\Workfolder\BackUp\20141017; for: Adp.Streamline.ProductionLine.Domain.Commands.CopyFileCommand;";"";"Technical";"9181181E3C954DF6AF60CA400A4C5F95";"73E64F6B82F44DC889E8A3C700CC14AA"
"17/10/2014, 10:23:02:323";"Info";"End step 0 execution successfully";"";"Technical";"9181181E3C954DF6AF60CA400A4C5F95";"1F638E07050B4BD29B71A3C700CC14AF"
"17/10/2014, 10:23:02:349";"Info";">> Begin execution step: 86B0ED1DE44B41E9BDA5A3C700CC126A; with order: 1";"";"Technical";"9181181E3C954DF6AF60CA400A4C5F95";"993620FB843B4C46B3BEA3C700CC14B8"
"17/10/2014, 10:23:02:358";"Debug";"Command: FC180CE58B1241A79323B4782A0669EA; Name: Log data in legacy UhraFileEvents table";"";"Technical";"9181181E3C954DF6AF60CA400A4C5F95";"1FFADF52F4544B049A2FA3C700CC14B8"
"17/10/2014, 10:23:02:361";"Debug";"Registering parameters for step 86B0ED1DE44B41E9BDA5A3C700CC126A";"";"Technical";"9181181E3C954DF6AF60CA400A4C5F95";"FBF8D463D1CC41518B20A3C700CC14B8"
"17/10/2014, 10:23:02:371";"Trace";"Set default parameter: pipeline_id; with value: 9181181E3C954DF6AF60CA400A4C5F95";"";"Technical";"9181181E3C954DF6AF60CA400A4C5F95";"2669AB60DF234C3B8787A3C700CC14BD"
"17/10/2014, 10:23:02:384";"Trace";"Set default parameter: tid; with value: 010255";"";"Technical";"9181181E3C954DF6AF60CA400A4C5F95";"8F9895EE2D3940BE8E6AA3C700CC14C2"
"17/10/2014, 10:23:02:393";"Trace";"Set default parameter: side; with value: Client";"";"Technical";"9181181E3C954DF6AF60CA400A4C5F95";"7BDDD881DF1C4EA69B74A3C700CC14C7"
"17/10/2014, 10:23:02:403";"Trace";"Set default parameter: file_id; with value: 1696B1E514CC4B1AB031F6380A2DC352";"";"Technical";"9181181E3C954DF6AF60CA400A4C5F95";"F9272E7F8AF24602A36BA3C700CC14C7"
"17/10/2014, 10:23:02:410";"Trace";"Set default parameter: file_path; with value: \\ind021\NPRSin\{6497ec54b333431da47fc0e9ab4ea80b}";"";"Technical";"9181181E3C954DF6AF60CA400A4C5F95";"EB1D9C1F75E14495BFD9A3C700CC14CB"
"17/10/2014, 10:23:02:416";"Trace";"Set default parameter: file_name; with value: EP2_010255_20141017_102257_FR003814_000000_0000SIF_00006_FILE_SIFsignOffV1.txt";"";"Technical";"9181181E3C954DF6AF60CA400A4C5F95";"5925EC4D44464EC0AC6AA3C700CC14CB"
"17/10/2014, 10:23:02:431";"Trace";"Set default parameter: file_type_id; with value: SIF";"";"Technical";"9181181E3C954DF6AF60CA400A4C5F95";"3744A78509BA4B369DCBA3C700CC14D0"
"17/10/2014, 10:23:02:441";"Trace";"Set default parameter: container_type_id; with value: FILE";"";"Technical";"9181181E3C954DF6AF60CA400A4C5F95";"C7E7020651064731AA6DA3C700CC14D5"
"17/10/2014, 10:23:02:450";"Trace";"Set default parameter: transmission_mode; with value: 1";"";"Technical";"9181181E3C954DF6AF60CA400A4C5F95";"48FF4D949CA74F088F3DA3C700CC14D5"
"17/10/2014, 10:23:02:497";"Trace";"Set parameter: input_file_info_error; with value: ";"";"Technical";"9181181E3C954DF6AF60CA400A4C5F95";"91CCFFB6E5B84B2390BAA3C700CC14E3"
"17/10/2014, 10:23:02:516";"Trace";"Set parameter: input_file_info_report_folder; with value: ";"";"Technical";"9181181E3C954DF6AF60CA400A4C5F95";"B4B5493B76B54FB891F8A3C700CC14E7"
"17/10/2014, 10:23:02:539";"Trace";"Set parameter: input_file_info_receive_folder; with value: ";"";"Technical";"9181181E3C954DF6AF60CA400A4C5F95";"A7ABA52F0EFD4EFC8BE8A3C700CC14F1"
"17/10/2014, 10:23:02:559";"Trace";"Set parameter: input_file_info_ref_parent; with value: ";"";"Technical";"9181181E3C954DF6AF60CA400A4C5F95";"1E90D0C0009742D2BD43A3C700CC14F5"
"17/10/2014, 10:23:02:582";"Trace";"Set parameter: input_file_info_creation_date; with value: ";"";"Technical";"9181181E3C954DF6AF60CA400A4C5F95";"63F84EC49EB14FA08530A3C700CC14FF"
"17/10/2014, 10:23:02:598";"Trace";"Set parameter: input_file_info_file_status_id; with value: ";"";"Technical";"9181181E3C954DF6AF60CA400A4C5F95";"48B0244CD0AB4386842DA3C700CC1503"
"17/10/2014, 10:23:02:658";"Trace";"Set parameter: input_file_info_file_size; with value: ";"";"Technical";"9181181E3C954DF6AF60CA400A4C5F95";"49BFECC9C1C9421387F7A3C700CC1516"
"17/10/2014, 10:23:02:681";"Trace";"Set parameter: input_file_info_reception_date; with value: ";"";"Technical";"9181181E3C954DF6AF60CA400A4C5F95";"36BC740053CC4AE9BBF7A3C700CC151B"
"17/10/2014, 10:23:02:701";"Trace";"Resolving parameter: file_name; with value: EP2_010255_20141017_102257_FR003814_000000_0000SIF_00006_FILE_SIFsignOffV1.txt;";"";"Technical";"9181181E3C954DF6AF60CA400A4C5F95";"CE8B4E6B7B244DE5970CA3C700CC1520"
