"TIME";"DSC_ERROR_LEVEL";"MESSAGE";"DETAILS_ERROR";"DSC_ERROR_TYPE";"GUID_PROCESS_EXECUTION";"GUID_PROCESS_ERROR"
"04/09/2014, 15:11:16:074";"Debug";"Begin execution pipeline: 55BE5C81C6B043F49B14B6B46CBECD29; from type: OUTPUT process for a GV file;";"";"Technical";"55BE5C81C6B043F49B14B6B46CBECD29";"E630E1D16EDA484F9BBFA39C011B3EE7"
"04/09/2014, 15:11:16:089";"Info";">> Begin execution step: 35FB52D677734E5FB4FAA39C011B3E85; with order: 0";"";"Technical";"55BE5C81C6B043F49B14B6B46CBECD29";"AB14E141A0834BC3AB0DA39C011B3EEC"
"04/09/2014, 15:11:16:096";"Debug";"Command: 07CF998A91EF4E05B53141AD6E50DF89; Name: Perform a file backup";"";"Technical";"55BE5C81C6B043F49B14B6B46CBECD29";"84F7ED87963948EDB139A39C011B3EF1"
"04/09/2014, 15:11:16:104";"Debug";"Registering parameters for step 35FB52D677734E5FB4FAA39C011B3E85";"";"Technical";"55BE5C81C6B043F49B14B6B46CBECD29";"645CDC2700A943B68BBCA39C011B3EF1"
"04/09/2014, 15:11:16:106";"Trace";"Set default parameter: pipeline_id; with value: 55BE5C81C6B043F49B14B6B46CBECD29";"";"Technical";"55BE5C81C6B043F49B14B6B46CBECD29";"6D9A95DC18B94C11B3D7A39C011B3EF5"
"04/09/2014, 15:11:16:118";"Trace";"Set default parameter: tid; with value: 954321";"";"Technical";"55BE5C81C6B043F49B14B6B46CBECD29";"1128784CB1A246C48B60A39C011B3EF5"
"04/09/2014, 15:11:16:125";"Trace";"Set default parameter: side; with value: Platform";"";"Technical";"55BE5C81C6B043F49B14B6B46CBECD29";"D6F738ED688C4737B92CA39C011B3EFA"
"04/09/2014, 15:11:16:133";"Trace";"Set default parameter: file_id; with value: BE4B9DFFD9FA410DA5E782E6197DFB75";"";"Technical";"55BE5C81C6B043F49B14B6B46CBECD29";"9D9AA4EF162F47878BF1A39C011B3EFA"
"04/09/2014, 15:11:16:141";"Trace";"Set default parameter: file_path; with value: \\ind021\Webbyfiles\folders\954321\OUTPUT";"";"Technical";"55BE5C81C6B043F49B14B6B46CBECD29";"F7323EEA758F4D6BBA55A39C011B3EFF"
"04/09/2014, 15:11:16:143";"Trace";"Set default parameter: file_name; with value: P_SRF_LIDA_20140601_20140630_01_3.xls";"";"Technical";"55BE5C81C6B043F49B14B6B46CBECD29";"032EB49E0A4B4C4898BEA39C011B3EFF"
