"TIME";"DSC_ERROR_LEVEL";"MESSAGE";"DETAILS_ERROR";"DSC_ERROR_TYPE";"GUID_PROCESS_EXECUTION";"GUID_PROCESS_ERROR"
"05/09/2014, 13:17:05:545";"Debug";"Begin execution pipeline: ADA2D73F31084922979D751312199BD9; from type: OUTPUT process for non-direct files;";"";"Technical";"ADA2D73F31084922979D751312199BD9";"9A7830371A034F59922EA39D00FBE2C8"
"05/09/2014, 13:17:05:560";"Info";">> Begin execution step: 2EF51A6F5E464851B7E4A39D00FBE27D; with order: 0";"";"Technical";"ADA2D73F31084922979D751312199BD9";"D266487B46154B83A7B7A39D00FBE2CC"
"05/09/2014, 13:17:05:568";"Debug";"Command: 07CF998A91EF4E05B53141AD6E50DF89; Name: Perform a file backup";"";"Technical";"ADA2D73F31084922979D751312199BD9";"DCD07505354B4CD988A6A39D00FBE2D1"
"05/09/2014, 13:17:05:569";"Debug";"Registering parameters for step 2EF51A6F5E464851B7E4A39D00FBE27D";"";"Technical";"ADA2D73F31084922979D751312199BD9";"523495C1947847B1AD6BA39D00FBE2D1"
"05/09/2014, 13:17:05:580";"Trace";"Set default parameter: pipeline_id; with value: ADA2D73F31084922979D751312199BD9";"";"Technical";"ADA2D73F31084922979D751312199BD9";"ECB83772F27742E09CF7A39D00FBE2D1"
"05/09/2014, 13:17:05:587";"Trace";"Set default parameter: tid; with value: 954321";"";"Technical";"ADA2D73F31084922979D751312199BD9";"323963AC824544DDB378A39D00FBE2D6"
"05/09/2014, 13:17:05:594";"Trace";"Set default parameter: side; with value: Platform";"";"Technical";"ADA2D73F31084922979D751312199BD9";"F38D7E8F29304A818D61A39D00FBE2D6"
"05/09/2014, 13:17:05:611";"Trace";"Set default parameter: file_id; with value: 8F442230CBF3481A8D993D244DA5B3B6";"";"Technical";"ADA2D73F31084922979D751312199BD9";"AE80B3A12E6748AAB129A39D00FBE2DA"
"05/09/2014, 13:17:05:621";"Trace";"Set default parameter: file_path; with value: \\ind021\Webbyfiles\folders\954321\OUTPUT";"";"Technical";"ADA2D73F31084922979D751312199BD9";"4ADB574368254053BDFFA39D00FBE2DF"
"05/09/2014, 13:17:05:631";"Trace";"Set default parameter: file_name; with value: P_SLP_LIDA_20140201_20140228_00_V2_0000_00000_FILE_NOE_CONSEJEROS-DIRECCIαααN.pdf";"";"Technical";"ADA2D73F31084922979D751312199BD9";"B0F7860CA5584F27A8E0A39D00FBE2E4"
