"TIME";"DSC_ERROR_LEVEL";"MESSAGE";"DETAILS_ERROR";"DSC_ERROR_TYPE";"GUID_PROCESS_EXECUTION";"GUID_PROCESS_ERROR"
"09/10/2014, 15:55:19:644";"Debug";"Begin execution pipeline: CCF90E27DBD04F509C995D876DA9C944; from type: INPUT process for an SIF file through LGP with NPrS V. 1.0;";"";"Technical";"CCF90E27DBD04F509C995D876DA9C944";"EAB1AB2C16F8487ABA09A3BF012758EF"
"09/10/2014, 15:55:19:674";"Info";">> Begin execution step: 98BA7D7C473C4EF9B93BA3BF0127570C; with order: 0";"";"Technical";"CCF90E27DBD04F509C995D876DA9C944";"89BFAA7BE75C4171BF46A3BF012758F9"
"09/10/2014, 15:55:19:684";"Debug";"Command: 07CF998A91EF4E05B53141AD6E50DF89; Name: Perform a file backup";"";"Technical";"CCF90E27DBD04F509C995D876DA9C944";"E1D772787D3644619D93A3BF012758F9"
"09/10/2014, 15:55:19:695";"Debug";"Registering parameters for step 98BA7D7C473C4EF9B93BA3BF0127570C";"";"Technical";"CCF90E27DBD04F509C995D876DA9C944";"76B1E46BC5974DDFAFE0A3BF012758FD"
"09/10/2014, 15:55:19:710";"Trace";"Set default parameter: pipeline_id; with value: CCF90E27DBD04F509C995D876DA9C944";"";"Technical";"CCF90E27DBD04F509C995D876DA9C944";"48A701EFC7714281843FA3BF01275902"
"09/10/2014, 15:55:19:712";"Trace";"Set default parameter: tid; with value: 010295";"";"Technical";"CCF90E27DBD04F509C995D876DA9C944";"1DAC5E7AD88B4E7CB8D1A3BF01275902"
"09/10/2014, 15:55:19:733";"Trace";"Set default parameter: side; with value: Client";"";"Technical";"CCF90E27DBD04F509C995D876DA9C944";"E85F06669E51466E8E6AA3BF01275907"
"09/10/2014, 15:55:19:741";"Trace";"Set default parameter: file_id; with value: 9966B19FCCC64E108387BFD1C2876A4C";"";"Technical";"CCF90E27DBD04F509C995D876DA9C944";"F9AEF617198C4E02A0C5A3BF0127590B"
"09/10/2014, 15:55:19:750";"Trace";"Set default parameter: file_path; with value: \\ind021\NPRSin\{f243531d8b614cb9ac13fd3cc2cfcaeb}";"";"Technical";"CCF90E27DBD04F509C995D876DA9C944";"E63C42E56E5A400F8074A3BF0127590B"
"09/10/2014, 15:55:19:775";"Trace";"Set default parameter: file_name; with value: EP2_010295_20141009_155515_IE005802_A80200_0000SIF_00071_FILE_MainSIFSignOff.txt";"";"Technical";"CCF90E27DBD04F509C995D876DA9C944";"E2FA42EA71CE493B90D9A3BF01275915"
"09/10/2014, 15:55:19:788";"Trace";"Set default parameter: file_type_id; with value: SIF";"";"Technical";"CCF90E27DBD04F509C995D876DA9C944";"8EB9D48CB0DA4C68BF42A3BF01275919"
"09/10/2014, 15:55:19:797";"Trace";"Set default parameter: container_type_id; with value: FILE";"";"Technical";"CCF90E27DBD04F509C995D876DA9C944";"1D7E3115EA1742F690C1A3BF01275919"
"09/10/2014, 15:55:19:800";"Trace";"Set default parameter: transmission_mode; with value: 1";"";"Technical";"CCF90E27DBD04F509C995D876DA9C944";"729838710ED24C95BC96A3BF0127591E"
"09/10/2014, 15:55:19:821";"Trace";"Resolving parameter: file_name; with value: EP2_010295_20141009_155515_IE005802_A80200_0000SIF_00071_FILE_MainSIFSignOff.txt;";"";"Technical";"CCF90E27DBD04F509C995D876DA9C944";"25929E9805214CA6A903A3BF01275923"
"09/10/2014, 15:55:19:833";"Trace";"Resolving parameter: file_path; with value: \\ind021\NPRSin\{f243531d8b614cb9ac13fd3cc2cfcaeb};";"";"Technical";"CCF90E27DBD04F509C995D876DA9C944";"DC0C634BDD9A4B04A7C1A3BF01275927"
"09/10/2014, 15:55:19:843";"Trace";"Resolving parameter: file_type_id; with value: SIF;";"";"Technical";"CCF90E27DBD04F509C995D876DA9C944";"D60B48EBE0764B12A0FAA3BF01275927"
