"TIME";"DSC_ERROR_LEVEL";"MESSAGE";"DETAILS_ERROR";"DSC_ERROR_TYPE";"GUID_PROCESS_EXECUTION";"GUID_PROCESS_ERROR"
"24/04/2014, 14:31:17:549";"Debug";"Begin execution pipeline: E19DAB1390B84D2FA6E68463AC9FB758; from type: OUTPUT process for an SRF file with NPrS V. 1.0;";"";"Technical";"E19DAB1390B84D2FA6E68463AC9FB758";"FF6899E933954B168DDAA3170110442E"
"24/04/2014, 14:31:17:581";"Info";">> Begin execution step: 0A2A355B2BD549348029A317011043C7; with order: 0";"";"Technical";"E19DAB1390B84D2FA6E68463AC9FB758";"7FD7E305303A40F8B75EA31701104437"
"24/04/2014, 14:31:17:588";"Debug";"Command: 07CF998A91EF4E05B53141AD6E50DF89; Name: Perform a file backup";"";"Technical";"E19DAB1390B84D2FA6E68463AC9FB758";"3FD7A9E7A4B442358077A31701104437"
"24/04/2014, 14:31:17:606";"Debug";"Registering parameters for step 0A2A355B2BD549348029A317011043C7";"";"Technical";"E19DAB1390B84D2FA6E68463AC9FB758";"B90BE8F1048F4937A34CA3170110443C"
"24/04/2014, 14:31:17:609";"Trace";"Set default parameter: pipeline_id; with value: E19DAB1390B84D2FA6E68463AC9FB758";"";"Technical";"E19DAB1390B84D2FA6E68463AC9FB758";"FEF73E78728B4423B4D1A31701104441"
"24/04/2014, 14:31:17:623";"Trace";"Set default parameter: tid; with value: 999039";"";"Technical";"E19DAB1390B84D2FA6E68463AC9FB758";"694D9AD7A9D74CA49AD1A31701104441"
"24/04/2014, 14:31:17:626";"Trace";"Set default parameter: side; with value: Platform";"";"Technical";"E19DAB1390B84D2FA6E68463AC9FB758";"646C66B02B334C7C939FA31701104445"
"24/04/2014, 14:31:17:628";"Trace";"Set default parameter: file_id; with value: 81139D05660A4BF298BE6E952D02B1DE";"";"Technical";"E19DAB1390B84D2FA6E68463AC9FB758";"1EDFAEDCB13743589216A31701104445"
"24/04/2014, 14:31:17:630";"Trace";"Set default parameter: file_path; with value: \\ind021\NPRSin\{865de52e6ffa4bcbb02315d5abca3fd3}";"";"Technical";"E19DAB1390B84D2FA6E68463AC9FB758";"1F54001A252F4AA6A30CA31701104445"
"24/04/2014, 14:31:17:642";"Trace";"Set default parameter: file_name; with value: P_SRF_ST1YA30_20120101_20141231_00_V2_0000_00017_FILE_NOE_BadLidInXLS_FGS_20140407_01.xls";"";"Technical";"E19DAB1390B84D2FA6E68463AC9FB758";"FC3B32D7F23149FCA124A3170110444A"
"24/04/2014, 14:31:17:656";"Trace";"Set default parameter: file_type_id; with value: SRF";"";"Technical";"E19DAB1390B84D2FA6E68463AC9FB758";"9E6CB407E8724D5D8CC6A3170110444A"
"24/04/2014, 14:31:17:670";"Trace";"Set default parameter: container_type_id; with value: FILE";"";"Technical";"E19DAB1390B84D2FA6E68463AC9FB758";"CDD0A292550242FA851FA3170110444F"
"24/04/2014, 14:31:17:672";"Trace";"Set default parameter: transmission_mode; with value: 1";"";"Technical";"E19DAB1390B84D2FA6E68463AC9FB758";"E879B7C939FF44AA9B1BA31701104453"
"24/04/2014, 14:31:17:700";"Trace";"Resolving parameter: file_name; with value: P_SRF_ST1YA30_20120101_20141231_00_V2_0000_00017_FILE_NOE_BadLidInXLS_FGS_20140407_01.xls;";"";"Technical";"E19DAB1390B84D2FA6E68463AC9FB758";"3C8A18AEAF8F4A6ABBECA31701104458"
